suspect_id,suspect_type,true_parent_idx,predicted_parent_idx,rank_of_true,is_correct,reciprocal_rank,margin,max_score,true_parent_score,method
indep_5,independent,-1,1,-1,False,0.0,0.020002612817769484,0.04558909712768436,,diag_centered
indep_6,independent,-1,2,-1,False,0.0,0.039432298468160355,0.0879140583773812,,diag_centered
indep_7,independent,-1,6,-1,False,0.0,0.0033428075213986774,0.07216393529603739,,diag_centered
indep_8,independent,-1,5,-1,False,0.0,0.013563650836623989,0.06166461106961312,,diag_centered
indep_9,independent,-1,2,-1,False,0.0,0.036660165150051126,0.09497983317076353,,diag_centered
indep_10,independent,-1,1,-1,False,0.0,0.014143213209082173,0.02771185134526762,,diag_centered
indep_11,independent,-1,7,-1,False,0.0,0.008758973271466658,0.0839439879878503,,diag_centered
indep_12,independent,-1,7,-1,False,0.0,0.0017736405227321492,0.051714917739617006,,diag_centered
indep_13,independent,-1,0,-1,False,0.0,0.0007425784887115996,0.035234823737548555,,diag_centered
indep_14,independent,-1,2,-1,False,0.0,0.047408707815095735,0.0674131585845368,,diag_centered
indep_15,independent,-1,6,-1,False,0.0,0.002805748622927727,0.023986387247528485,,diag_centered
indep_16,independent,-1,6,-1,False,0.0,0.02725748666942078,0.06381013708228252,,diag_centered
indep_17,independent,-1,3,-1,False,0.0,0.002032213632203364,0.0673462517400222,,diag_centered
indep_18,independent,-1,9,-1,False,0.0,0.001173289243932188,0.06619492454832597,,diag_centered
indep_19,independent,-1,8,-1,False,0.0,0.0342974394533907,0.057833574193424477,,diag_centered
random_0,random_init,-1,7,-1,False,0.0,0.010431568447210347,0.02766253872795939,,diag_centered
random_1,random_init,-1,2,-1,False,0.0,0.38984373465584155,0.42633590484921785,,diag_centered
random_2,random_init,-1,8,-1,False,0.0,0.015818742065325915,0.05073626600642541,,diag_centered
random_3,random_init,-1,9,-1,False,0.0,0.0019320234769011069,0.0402026371229914,,diag_centered
random_4,random_init,-1,1,-1,False,0.0,0.003581599163000944,0.05808423182011436,,diag_centered
random_5,random_init,-1,5,-1,False,0.0,0.041323057007341145,0.05526007806772165,,diag_centered
random_6,random_init,-1,0,-1,False,0.0,0.010130843091437552,0.04642483694823014,,diag_centered
random_7,random_init,-1,3,-1,False,0.0,0.0014113590304591708,0.042085143842733486,,diag_centered
random_8,random_init,-1,3,-1,False,0.0,0.0019660912854460033,0.01561221237398779,,diag_centered
random_9,random_init,-1,6,-1,False,0.0,0.03497191442667233,0.06478018557856154,,diag_centered
distill_0_from_0,distilled,-1,1,-1,False,0.0,0.008390754700378299,0.022687654631734857,,diag_centered
distill_1_from_1,distilled,-1,8,-1,False,0.0,0.010634650835076635,0.036396035066959716,,diag_centered
distill_2_from_2,distilled,-1,0,-1,False,0.0,0.009009878109376125,0.050966115438811965,,diag_centered
distill_3_from_3,distilled,-1,5,-1,False,0.0,0.0056183511905918415,0.04682661198125831,,diag_centered
distill_4_from_4,distilled,-1,5,-1,False,0.0,0.006089425609815933,0.03686610279197105,,diag_centered
ref0_ft,fine_tuned,0,0,1,True,1.0,11.415064686946575,-0.2750485417038343,-0.2750485417038343,frobenius
ref0_q8,quantized,0,0,1,True,1.0,11.580637934245296,-0.10434306285018197,-0.10434306285018197,frobenius
ref0_pr30,pruned,0,0,1,True,1.0,10.043019199733436,-1.5506046565096552,-1.5506046565096552,frobenius
ref0_noise,noisy,0,0,1,True,1.0,11.556412569885078,-0.12788951569674809,-0.12788951569674809,frobenius
ref0_lora,lora_merged,0,0,1,True,1.0,11.683284619452571,0.0,0.0,frobenius
ref1_ft,fine_tuned,1,1,1,True,1.0,11.532358717302317,-0.3078493235754672,-0.3078493235754672,frobenius
ref1_q8,quantized,1,1,1,True,1.0,11.735974281704772,-0.10231859748414678,-0.10231859748414678,frobenius
ref1_pr30,pruned,1,1,1,True,1.0,10.249529812683974,-1.5210919933733276,-1.5210919933733276,frobenius
ref1_noise,noisy,1,1,1,True,1.0,11.70858306056511,-0.1287095365996368,-0.1287095365996368,frobenius
ref1_lora,lora_merged,1,1,1,True,1.0,11.83792305126159,0.0,0.0,frobenius
ref2_ft,fine_tuned,2,2,1,True,1.0,11.48151257507839,-0.2776286354447255,-0.2776286354447255,frobenius
ref2_q8,quantized,2,2,1,True,1.0,11.64427664945795,-0.10581627889688149,-0.10581627889688149,frobenius
ref2_pr30,pruned,2,2,1,True,1.0,10.156983606798844,-1.5265605914759128,-1.5265605914759128,frobenius
ref2_noise,noisy,2,2,1,True,1.0,11.625278634880626,-0.12795377935908556,-0.12795377935908556,frobenius
ref2_lora,lora_merged,2,2,1,True,1.0,11.750899207669045,0.0,0.0,frobenius
ref3_ft,fine_tuned,3,3,1,True,1.0,11.657334296091593,-0.28153466671339517,-0.28153466671339517,frobenius
ref3_q8,quantized,3,3,1,True,1.0,11.831428660648513,-0.10467355188583959,-0.10467355188583959,frobenius
ref3_pr30,pruned,3,3,1,True,1.0,10.331042312944222,-1.540389228827795,-1.540389228827795,frobenius
ref3_noise,noisy,3,3,1,True,1.0,11.80530391314109,-0.12869450799390303,-0.12869450799390303,frobenius
ref3_lora,lora_merged,3,3,1,True,1.0,11.935085380763178,0.0,0.0,frobenius
ref4_ft,fine_tuned,4,4,1,True,1.0,11.560895932059486,-0.22560673688418972,-0.22560673688418972,frobenius
ref4_q8,quantized,4,4,1,True,1.0,11.685268065575883,-0.10177771142268661,-0.10177771142268661,frobenius
ref4_pr30,pruned,4,4,1,True,1.0,10.19364029798582,-1.517937294035863,-1.517937294035863,frobenius
ref4_noise,noisy,4,4,1,True,1.0,11.661137571346178,-0.12677518828948972,-0.12677518828948972,frobenius
ref4_lora,lora_merged,4,4,1,True,1.0,11.786231000516414,0.0,0.0,frobenius
ref5_ft,fine_tuned,5,5,1,True,1.0,11.562527266287223,-0.25779524380688523,-0.25779524380688523,frobenius
ref5_q8,quantized,5,5,1,True,1.0,11.711991458056117,-0.10122037787147332,-0.10122037787147332,frobenius
ref5_pr30,pruned,5,5,1,True,1.0,10.218907902258408,-1.5287038851473882,-1.5287038851473882,frobenius
ref5_noise,noisy,5,5,1,True,1.0,11.687143237425305,-0.12669940770861302,-0.12669940770861302,frobenius
ref5_lora,lora_merged,5,5,1,True,1.0,11.812475906744206,0.0,0.0,frobenius
ref6_ft,fine_tuned,6,6,1,True,1.0,11.428217685057055,-0.36412611637402376,-0.36412611637402376,frobenius
ref6_q8,quantized,6,6,1,True,1.0,11.6774692689963,-0.10250026307778227,-0.10250026307778227,frobenius
ref6_pr30,pruned,6,6,1,True,1.0,10.195220835956738,-1.5055120780363438,-1.5055120780363438,frobenius
ref6_noise,noisy,6,6,1,True,1.0,11.65438381546167,-0.12700487344008743,-0.12700487344008743,frobenius
ref6_lora,lora_merged,6,6,1,True,1.0,11.780328883023467,0.0,0.0,frobenius
ref7_ft,fine_tuned,7,7,1,True,1.0,11.446972485819785,-0.24284744681348583,-0.24284744681348583,frobenius
ref7_q8,quantized,7,7,1,True,1.0,11.57730889120079,-0.1057201089613344,-0.1057201089613344,frobenius
ref7_pr30,pruned,7,7,1,True,1.0,10.066933613096742,-1.5446655860394254,-1.5446655860394254,frobenius
ref7_noise,noisy,7,7,1,True,1.0,11.555392991419431,-0.12754652131704486,-0.12754652131704486,frobenius
ref7_lora,lora_merged,7,7,1,True,1.0,11.683284619452571,0.0,0.0,frobenius
ref8_ft,fine_tuned,8,8,1,True,1.0,11.531453598638198,-0.2863703002624501,-0.2863703002624501,frobenius
ref8_q8,quantized,8,8,1,True,1.0,11.70395501428639,-0.10463702212214493,-0.10463702212214493,frobenius
ref8_pr30,pruned,8,8,1,True,1.0,10.198690802419362,-1.540492099360969,-1.540492099360969,frobenius
ref8_noise,noisy,8,8,1,True,1.0,11.680251175822987,-0.12810547869112246,-0.12810547869112246,frobenius
ref8_lora,lora_merged,8,8,1,True,1.0,11.807621046815454,0.0,0.0,frobenius
ref9_ft,fine_tuned,9,9,1,True,1.0,11.645077986764623,-0.222670758048329,-0.222670758048329,frobenius
ref9_q8,quantized,9,9,1,True,1.0,11.767976329338032,-0.0993980006322386,-0.0993980006322386,frobenius
ref9_pr30,pruned,9,9,1,True,1.0,10.262964055298745,-1.5238235986469062,-1.5238235986469062,frobenius
ref9_noise,noisy,9,9,1,True,1.0,11.740426307808121,-0.1262638172865271,-0.1262638172865271,frobenius
ref9_lora,lora_merged,9,9,1,True,1.0,11.867250033968267,0.0,0.0,frobenius
indep_0,independent,-1,0,-1,False,0.0,0.03350521794203232,-11.741419355716284,,frobenius
indep_1,independent,-1,7,-1,False,0.0,0.09696234989641717,-11.89291487071803,,frobenius
indep_2,independent,-1,0,-1,False,0.0,0.013085025695279029,-11.866199808287648,,frobenius
indep_3,independent,-1,0,-1,False,0.0,0.04931646366119935,-11.7506019318024,,frobenius
indep_4,independent,-1,0,-1,False,0.0,0.015074356418931956,-11.698659977551353,,frobenius
indep_5,independent,-1,5,-1,False,0.0,0.044429233375204547,-11.782913466544693,,frobenius
indep_6,independent,-1,7,-1,False,0.0,0.012703468214438018,-11.785812090813872,,frobenius
indep_7,independent,-1,0,-1,False,0.0,0.0036979131179961655,-11.836399288228549,,frobenius
indep_8,independent,-1,0,-1,False,0.0,0.04709169318642381,-11.918687491209973,,frobenius
indep_9,independent,-1,0,-1,False,0.0,0.11648887819826648,-11.696991373679618,,frobenius
indep_10,independent,-1,7,-1,False,0.0,0.05794421647319936,-11.677916310330827,,frobenius
indep_11,independent,-1,0,-1,False,0.0,0.08870611800910133,-11.870769541271471,,frobenius
indep_12,independent,-1,8,-1,False,0.0,0.017918133756058552,-11.879729702563347,,frobenius
indep_13,independent,-1,7,-1,False,0.0,0.0627084931507369,-11.715756596836997,,frobenius
indep_14,independent,-1,7,-1,False,0.0,0.048036870195396375,-11.641676732123303,,frobenius
indep_15,independent,-1,9,-1,False,0.0,0.007634864218076132,-11.867260820119599,,frobenius
indep_16,independent,-1,0,-1,False,0.0,0.025002746419232835,-11.964024053788874,,frobenius
indep_17,independent,-1,0,-1,False,0.0,0.001930200842869212,-11.917663102860388,,frobenius
indep_18,independent,-1,0,-1,False,0.0,0.09610017864436493,-11.826523117114553,,frobenius
indep_19,independent,-1,0,-1,False,0.0,0.02087101623619958,-11.728148628653274,,frobenius
random_0,random_init,-1,7,-1,False,0.0,0.03537198853727119,-13.066106101756397,,frobenius
random_1,random_init,-1,2,-1,False,0.0,8.02287121698308,-5.0217262359261,,frobenius
random_2,random_init,-1,0,-1,False,0.0,0.013369707249593077,-12.972120719524902,,frobenius
random_3,random_init,-1,0,-1,False,0.0,0.038576283636764686,-12.957051709914225,,frobenius
random_4,random_init,-1,0,-1,False,0.0,0.09886402879547695,-12.80847814834999,,frobenius
random_5,random_init,-1,0,-1,False,0.0,0.07058664700836736,-12.9645959843768,,frobenius
random_6,random_init,-1,0,-1,False,0.0,0.028230150297391177,-13.035789999720421,,frobenius
random_7,random_init,-1,7,-1,False,0.0,0.008596619721283005,-13.130148549426963,,frobenius
random_8,random_init,-1,5,-1,False,0.0,0.011271403400828106,-12.933817363046698,,frobenius
random_9,random_init,-1,1,-1,False,0.0,0.013203010891245981,-13.035621872788715,,frobenius
distill_0_from_0,distilled,-1,8,-1,False,0.0,0.03576423699551867,-13.023568598065529,,frobenius
distill_1_from_1,distilled,-1,0,-1,False,0.0,0.07990888412609465,-12.90286216226565,,frobenius
distill_2_from_2,distilled,-1,0,-1,False,0.0,0.02533869934510591,-12.816619406442333,,frobenius
distill_3_from_3,distilled,-1,0,-1,False,0.0,0.0023847736318192148,-12.860027919566035,,frobenius
distill_4_from_4,distilled,-1,0,-1,False,0.0,0.04059968636408229,-12.991029623160685,,frobenius
ref0_ft,fine_tuned,0,0,1,True,1.0,0.9245984533905219,0.9994709316604652,0.9994709316604652,raw_cosine
ref0_q8,quantized,0,0,1,True,1.0,0.9251331582950251,0.9999253637161019,0.9999253637161019,raw_cosine
ref0_pr30,pruned,0,0,1,True,1.0,0.9076902100942903,0.983318676883743,0.983318676883743,raw_cosine
ref0_noise,noisy,0,0,1,True,1.0,0.9249361254771146,0.9998878416294624,0.9998878416294624,raw_cosine
ref0_lora,lora_merged,0,0,1,True,1.0,0.9250105448707985,1.0,1.0,raw_cosine
ref1_ft,fine_tuned,1,1,1,True,1.0,0.9285127227031362,0.9993452006841408,0.9993452006841408,raw_cosine
ref1_q8,quantized,1,1,1,True,1.0,0.9291237957130827,0.9999303806850844,0.9999303806850844,raw_cosine
ref1_pr30,pruned,1,1,1,True,1.0,0.9130935336883651,0.9844814724813965,0.9844814724813965,raw_cosine
ref1_noise,noisy,1,1,1,True,1.0,0.9291170207690834,0.9998902285710652,0.9998902285710652,raw_cosine
ref1_lora,lora_merged,1,1,1,True,1.0,0.9292358695863221,1.0,1.0,raw_cosine
ref2_ft,fine_tuned,2,2,1,True,1.0,0.9257300519149632,0.9994872698879664,0.9994872698879664,raw_cosine
ref2_q8,quantized,2,2,1,True,1.0,0.9254521610729691,0.9999257325504761,0.9999257325504761,raw_cosine
ref2_pr30,pruned,2,2,1,True,1.0,0.9098820735050793,0.9844582050641381,0.9844582050641381,raw_cosine
ref2_noise,noisy,2,2,1,True,1.0,0.9255394320302719,0.9998917088046296,0.9998917088046296,raw_cosine
ref2_lora,lora_merged,2,2,1,True,1.0,0.9256011314281509,1.0,1.0,raw_cosine
ref3_ft,fine_tuned,3,3,1,True,1.0,0.9321558183594804,0.9994713079745147,0.9994713079745147,raw_cosine
ref3_q8,quantized,3,3,1,True,1.0,0.9328219837572577,0.9999278309595013,0.9999278309595013,raw_cosine
ref3_pr30,pruned,3,3,1,True,1.0,0.9203306203061659,0.984268724501935,0.984268724501935,raw_cosine
ref3_noise,noisy,3,3,1,True,1.0,0.9328367244845657,0.9998914416381885,0.9998914416381885,raw_cosine
ref3_lora,lora_merged,3,3,1,True,1.0,0.9328797803076443,1.0,1.0,raw_cosine
ref4_ft,fine_tuned,4,4,1,True,1.0,0.9233873553904719,0.9996562841715066,0.9996562841715066,raw_cosine
ref4_q8,quantized,4,4,1,True,1.0,0.9239055882105385,0.9999305425498792,0.9999305425498792,raw_cosine
ref4_pr30,pruned,4,4,1,True,1.0,0.9109264142945203,0.984461870850648,0.984461870850648,raw_cosine
ref4_noise,noisy,4,4,1,True,1.0,0.9239457559313665,0.9998931115677433,0.9998931115677433,raw_cosine
ref4_lora,lora_merged,4,4,1,True,1.0,0.9239762596967777,1.0,1.0,raw_cosine
ref5_ft,fine_tuned,5,5,1,True,1.0,0.9314350231520516,0.999546772627502,0.999546772627502,raw_cosine
ref5_q8,quantized,5,5,1,True,1.0,0.9315372224369165,0.9999320615091726,0.9999320615091726,raw_cosine
ref5_pr30,pruned,5,5,1,True,1.0,0.9186745452593084,0.9844321087862946,0.9844321087862946,raw_cosine
ref5_noise,noisy,5,5,1,True,1.0,0.9316589646024789,0.9998940055479139,0.9998940055479139,raw_cosine
ref5_lora,lora_merged,5,5,1,True,1.0,0.9316105697913916,1.0,1.0,raw_cosine
ref6_ft,fine_tuned,6,6,1,True,1.0,0.9238791756497938,0.9990761029899536,0.9990761029899536,raw_cosine
ref6_q8,quantized,6,6,1,True,1.0,0.9237612071486272,0.9999294554474324,0.9999294554474324,raw_cosine
ref6_pr30,pruned,6,6,1,True,1.0,0.9102551462922115,0.9847201345102904,0.9847201345102904,raw_cosine
ref6_noise,noisy,6,6,1,True,1.0,0.9239613841282571,0.9998921813649114,0.9998921813649114,raw_cosine
ref6_lora,lora_merged,6,6,1,True,1.0,0.9239762596967777,1.0,1.0,raw_cosine
ref7_ft,fine_tuned,7,7,1,True,1.0,0.924740984566139,0.9995994305728044,0.9995994305728044,raw_cosine
ref7_q8,quantized,7,7,1,True,1.0,0.9248723009153326,0.999924739722618,0.999924739722618,raw_cosine
ref7_pr30,pruned,7,7,1,True,1.0,0.9078607196991595,0.9837730577089773,0.9837730577089773,raw_cosine
ref7_noise,noisy,7,7,1,True,1.0,0.924760049633803,0.9998907334965578,0.9998907334965578,raw_cosine
ref7_lora,lora_merged,7,7,1,True,1.0,0.9250105448707985,1.0,1.0,raw_cosine
ref8_ft,fine_tuned,8,8,1,True,1.0,0.9371196939770828,0.9994299934734842,0.9994299934734842,raw_cosine
ref8_q8,quantized,8,8,1,True,1.0,0.9372671553566884,0.999925917842143,0.999925917842143,raw_cosine
ref8_pr30,pruned,8,8,1,True,1.0,0.9203998281414888,0.9839055104430955,0.9839055104430955,raw_cosine
ref8_noise,noisy,8,8,1,True,1.0,0.9371822922632492,0.9998898458805221,0.9998898458805221,raw_cosine
ref8_lora,lora_merged,8,8,1,True,1.0,0.9373661745571125,1.0,1.0,raw_cosine
ref9_ft,fine_tuned,9,9,1,True,1.0,0.9311300529166882,0.9996700806287219,0.9996700806287219,raw_cosine
ref9_q8,quantized,9,9,1,True,1.0,0.9314522105955997,0.9999350118264316,0.9999350118264316,raw_cosine
ref9_pr30,pruned,9,9,1,True,1.0,0.915484437623687,0.9845766506498667,0.9845766506498667,raw_cosine
ref9_noise,noisy,9,9,1,True,1.0,0.9313599797056478,0.9998950700249422,0.9998950700249422,raw_cosine
ref9_lora,lora_merged,9,9,1,True,1.0,0.9316105697913916,1.0,1.0,raw_cosine
indep_0,independent,-1,7,-1,False,0.0,0.0023677960034890477,0.06806305012111462,,raw_cosine
indep_1,independent,-1,7,-1,False,0.0,0.007560626295717646,0.0651615225366406,,raw_cosine
indep_2,independent,-1,2,-1,False,0.0,0.009068570765123171,0.07056333928914844,,raw_cosine
indep_3,independent,-1,5,-1,False,0.0,0.004126178652559667,0.07065548387823195,,raw_cosine
indep_4,independent,-1,7,-1,False,0.0,8.522194083128432e-05,0.07677744099261093,,raw_cosine
indep_5,independent,-1,5,-1,False,0.0,0.012182545851658469,0.07920465883235649,,raw_cosine
indep_6,independent,-1,7,-1,False,0.0,0.0026760979196249757,0.07249368058154039,,raw_cosine
indep_7,independent,-1,9,-1,False,0.0,0.0025520433294088096,0.07298087375561492,,raw_cosine
indep_8,independent,-1,7,-1,False,0.0,0.002101097475032815,0.05857749706068491,,raw_cosine
indep_9,independent,-1,0,-1,False,0.0,0.000987596312866143,0.0776845722072776,,raw_cosine
indep_10,independent,-1,5,-1,False,0.0,0.0004362812018375295,0.08465565259917764,,raw_cosine
indep_11,independent,-1,0,-1,False,0.0,0.0009714090952305382,0.06337299617067725,,raw_cosine
indep_12,independent,-1,8,-1,False,0.0,0.0011584062669018347,0.0701735281586131,,raw_cosine
indep_13,independent,-1,7,-1,False,0.0,0.001945787146282768,0.07567914894362555,,raw_cosine
indep_14,independent,-1,7,-1,False,0.0,0.003352464064621155,0.07527203971735041,,raw_cosine
indep_15,independent,-1,9,-1,False,0.0,0.004984183716134599,0.06959611484193824,,raw_cosine
indep_16,independent,-1,4,-1,False,0.0,0.005764305552947865,0.06089716064071255,,raw_cosine
indep_17,independent,-1,5,-1,False,0.0,0.009076215233106512,0.07042506287799717,,raw_cosine
indep_18,independent,-1,0,-1,False,0.0,0.0052172281544284466,0.07255061337904348,,raw_cosine
indep_19,independent,-1,9,-1,False,0.0,0.0025814585933378043,0.07758037547563172,,raw_cosine
random_0,random_init,-1,7,-1,False,0.0,0.003365320463030054,0.008447808999536814,,raw_cosine
random_1,random_init,-1,2,-1,False,0.0,0.8478392107368813,0.8581375279920183,,raw_cosine
random_2,random_init,-1,9,-1,False,0.0,0.0008838051373972997,0.001652651353679112,,raw_cosine
random_3,random_init,-1,1,-1,False,0.0,0.0005580352520227413,0.008975185257714001,,raw_cosine
random_4,random_init,-1,5,-1,False,0.0,0.0023805722105295513,0.015976980893722327,,raw_cosine
random_5,random_init,-1,8,-1,False,0.0,0.0008823386924999305,0.007482970289455645,,raw_cosine
random_6,random_init,-1,1,-1,False,0.0,0.007534144103192084,0.011871273351773388,,raw_cosine
random_7,random_init,-1,3,-1,False,0.0,0.009073517515679207,0.010511758378595233,,raw_cosine
random_8,random_init,-1,5,-1,False,0.0,0.006603180465432616,0.014987824930647703,,raw_cosine
random_9,random_init,-1,1,-1,False,0.0,0.007143243590390419,0.020509497693242947,,raw_cosine
distill_0_from_0,distilled,-1,3,-1,False,0.0,0.0033615429854665212,0.013398783599904686,,raw_cosine
distill_1_from_1,distilled,-1,0,-1,False,0.0,0.00188607624064672,0.01289350816062941,,raw_cosine
distill_2_from_2,distilled,-1,4,-1,False,0.0,0.0014910202351917775,0.007213305657020684,,raw_cosine
distill_3_from_3,distilled,-1,4,-1,False,0.0,0.01122591740984065,0.017013106764007153,,raw_cosine
distill_4_from_4,distilled,-1,6,-1,False,0.0,0.00038225439117867263,0.0038228942155158203,,raw_cosine
ref0_ft,fine_tuned,0,0,1,True,1.0,0.3866185085149485,0.9997658071225896,0.9997658071225896,raw_diagonal
ref0_q8,quantized,0,0,1,True,1.0,0.38537847453251717,0.9999688034646083,0.9999688034646083,raw_diagonal
ref0_pr30,pruned,0,0,1,True,1.0,0.3878550427162276,0.993434584144921,0.993434584144921,raw_diagonal
ref0_noise,noisy,0,0,1,True,1.0,0.3858674717792975,0.9999554080515733,0.9999554080515733,raw_diagonal
ref0_lora,lora_merged,0,0,1,True,1.0,0.3856408692013483,1.0,1.0,raw_diagonal
ref1_ft,fine_tuned,1,1,1,True,1.0,0.41293678247169485,0.9997380757938842,0.9997380757938842,raw_diagonal
ref1_q8,quantized,1,1,1,True,1.0,0.4115088940174064,0.9999657341829508,0.9999657341829508,raw_diagonal
ref1_pr30,pruned,1,1,1,True,1.0,0.4044793376683715,0.9939067554354816,0.9939067554354816,raw_diagonal
ref1_noise,noisy,1,1,1,True,1.0,0.41129621266465377,0.9999537408044566,0.9999537408044566,raw_diagonal
ref1_lora,lora_merged,1,1,1,True,1.0,0.41166372928217776,1.0,1.0,raw_diagonal
ref2_ft,fine_tuned,2,2,1,True,1.0,0.38447439309303777,0.9997817469665266,0.9997817469665266,raw_diagonal
ref2_q8,quantized,2,2,1,True,1.0,0.3841710092641032,0.9999629541895367,0.9999629541895367,raw_diagonal
ref2_pr30,pruned,2,2,1,True,1.0,0.380660559651923,0.9939171425038161,0.9939171425038161,raw_diagonal
ref2_noise,noisy,2,2,1,True,1.0,0.38446409516018254,0.9999536297791715,0.9999536297791715,raw_diagonal
ref2_lora,lora_merged,2,2,1,True,1.0,0.38401623874124025,1.0,1.0,raw_diagonal
ref3_ft,fine_tuned,3,3,1,True,1.0,0.4227458071787633,0.9996744513794465,0.9996744513794465,raw_diagonal
ref3_q8,quantized,3,3,1,True,1.0,0.42401797967060906,0.9999628189981565,0.9999628189981565,raw_diagonal
ref3_pr30,pruned,3,3,1,True,1.0,0.4286494745443544,0.9923113814060618,0.9923113814060618,raw_diagonal
ref3_noise,noisy,3,3,1,True,1.0,0.4245995427663538,0.9999381643965691,0.9999381643965691,raw_diagonal
ref3_lora,lora_merged,3,3,1,True,1.0,0.42371593974037514,1.0,1.0,raw_diagonal
ref4_ft,fine_tuned,4,4,1,True,1.0,0.4317005194700274,0.9998246432492933,0.9998246432492933,raw_diagonal
ref4_q8,quantized,4,4,1,True,1.0,0.43415734772172687,0.9999631115978521,0.9999631115978521,raw_diagonal
ref4_pr30,pruned,4,4,1,True,1.0,0.4131867559722736,0.99114723144007,0.99114723144007,raw_diagonal
ref4_noise,noisy,4,4,1,True,1.0,0.43357191405340545,0.9999499067215467,0.9999499067215467,raw_diagonal
ref4_lora,lora_merged,4,4,1,True,1.0,0.4339384792358999,1.0,1.0,raw_diagonal
ref5_ft,fine_tuned,5,5,1,True,1.0,0.40143431669157037,0.9996623985664451,0.9996623985664451,raw_diagonal
ref5_q8,quantized,5,5,1,True,1.0,0.3999878795168148,0.9999656762009755,0.9999656762009755,raw_diagonal
