pathology,seed,epoch,train_loss,eval_loss,pair_acc,pair_sep,mean_dd_score,mean_incorrect,pct_negative_trace,auc
healthy_baseline,1,30,2493.7509765625,2555.343505859375,0.25,-0.5564182208778747,0.2830443783943874,0.15228609547209543,0.875,0.6982940821256038
healthy_baseline,1,50,32.20991897583008,26.859159469604492,0.25,-0.6426924705741788,0.3561390094015085,0.1521528485456922,0.9583333333333334,0.7810235507246377
healthy_baseline,1,75,6.67564582824707,7.316688060760498,0.6666666666666666,-0.4200920182693722,0.48878095451063386,0.15140765565828918,0.9583333333333334,0.8989281400966184
healthy_baseline,1,100,6.037535190582275,6.000065326690674,0.8333333333333334,-0.31862070204635623,0.6213060102948437,0.1522689463895608,0.9583333333333334,0.9226298309178744
healthy_baseline,1,150,1.635625958442688,2.0081496238708496,0.9166666666666666,-0.31166358641679087,0.898021846181471,0.15159233523606308,1.0,0.9586352657004831
healthy_baseline,1,200,0.4759540259838104,1.6645220518112183,1.0,-0.31049993480148197,1.1005150625789615,0.1519335863485472,1.0,0.9735809178743962
healthy_baseline,2,0,130512379904.0,135130357760.0,0.041666666666666664,-0.5273726616237503,0.14954592430283786,0.16125536233333565,0.3333333333333333,0.49622584541062803
healthy_baseline,2,1,20283128.0,20234834.0,0.041666666666666664,-0.5008302537333978,0.1426541806640981,0.16118263294639273,0.375,0.475618961352657
healthy_baseline,2,2,8941472.0,8869140.0,0.041666666666666664,-0.5152629902907782,0.13991418117832005,0.16112828064742207,0.4166666666666667,0.46535326086956524
healthy_baseline,2,3,6409659.0,6389358.0,0.041666666666666664,-0.5308932079901357,0.1390398007595375,0.16109669480544664,0.4583333333333333,0.46127717391304346
healthy_baseline,2,4,495409.15625,522501.21875,0.041666666666666664,-0.543976871751091,0.1389466836611025,0.16104036165823396,0.4583333333333333,0.4608997584541063
healthy_baseline,2,5,421606.09375,426428.4375,0.041666666666666664,-0.5576001853360695,0.13891608311614867,0.1609179382769559,0.4583333333333333,0.4585597826086957
healthy_baseline,2,7,125491.9609375,135108.015625,0.041666666666666664,-0.5694999299569574,0.1376595798074298,0.1609165199526938,0.5416666666666666,0.4489734299516908
healthy_baseline,2,10,26408.51171875,25199.525390625,0.041666666666666664,-0.5269721778799648,0.1394612938929552,0.16105725171946966,0.5833333333333334,0.4379528985507246
healthy_baseline,2,15,2483.507080078125,2725.891845703125,0.08333333333333333,-0.4866820766051735,0.15838192729430092,0.1610075388694128,0.8333333333333334,0.4746376811594203
